title,haiku,path
ASSOCIATE INVESTIGATOR (NOT PR,"Resolves quality
issues as required based
upon file audits","['resolves', 'quality', 'i++', 'issues', 'as', 'required', 'based', 'i++', 'upon', 'file', 'audits', 'i++']"
CIVIL ENGINEER,,"['experience', 'is', 'i++', 'in', 'civil', 'engineering', 'i++', 'and', 'other', 'rules', '-rules', 'structures', 'i++']"
CIVIL ENGINEER,"Supervise staff in
the east river bridges group
in the design phase","['supervise', 'staff', 'in', 'i++', 'the', 'country', 'with', 'nearly', '-nearly', '-with', '-country', 'design', 'inspection', '-inspection', '-design', 'east', 'river', 'bridges', 'group', 'i++', 'in', 'the', 'design', 'phase', 'i++']"
CIVIL ENGINEER,"Strong presentation
and communication skills
and leadership skills","['strong', 'technical', '-technical', 'presentation', 'i++', 'and', 'communication', 'skills', 'i++', 'and', 'leadership', 'skills', 'i++']"
CIVIL ENGINEER,"Directs all aspects
of sewer facilities
and infrastructure","['directs', 'all', 'aspects', 'i++', 'of', 'sewer', 'facilities', 'i++', 'and', 'infrastructure', 'i++']"
CIVIL ENGINEER,"Directs all aspects
of projects as required
for the design phase","['directs', 'all', 'aspects', 'i++', 'of', 'projects', 'as', 'required', 'i++', 'for', 'the', 'design', 'phase', 'i++']"
CITY RESEARCH SCIENTIST,"Knowledge of the new
york city department of
health and safety net","['knowledge', 'of', 'and', '-and', 'the', 'new', 'i++', 'york', 'city', 'department', 'of', 'i++', 'health', 'impact', 'of', '-of', '-impact', 'and', 'mental', '-mental', '-and', 'in', 'the', 'jails', '-jails', '-the', '-in', 'and', 'safety', 'net', 'i++']"
CITY RESEARCH SCIENTIST,"Engage with the new
york city department of
health inequities","['engage', 'with', 'the', 'new', 'i++', 'york', 'city', 'department', 'of', 'i++', 'finance', '-finance', 'correction', 'seeks', '-seeks', '-correction', 'health', 'data', 'from', '-from', '-data', 'inequities', 'i++']"
CITY RESEARCH SCIENTIST,"Facilitating
and coordinating large
and complex projects","['facilitating', 'i++', 'and', 'coordinating', 'large', 'i++', 'and', 'or', 'other', '-other', 'social', '-social', '-or', 'complex', 'projects', 'i++']"
CITY RESEARCH SCIENTIST,"The office of school
health and mental hygiene is
a must in the jails","['the', 'office', 'of', 'school', 'i++', 'health', 'and', 'safety', 'net', '-net', 'laws', 'and', '-and', '-laws', 'net', '-net', '-safety', 'mental', 'hygiene', 'is', 'i++', 'a', 'brief', 'test', 'may', '-may', '-test', '-brief', 'must', 'in', 'the', 'jails', 'i++']"
CITY RESEARCH SCIENTIST,"Analyze data
to generate reports on
policy issues","['analyze', 'data', 'i++', 'of', 'assets', 'within', '-within', '-assets', '-of', 'and', 'reports', 'targeting', 'a', 'i++', 'variety', '-variety', 'i--', '-a', '-targeting', '-reports', '-and', 'to', 'generate', 'reports', 'on', 'i++', 'policy', 'issues', 'i++']"
PROBATION OFFICER,"Understanding and
experience working with
high risk young people","['understanding', 'and', 'i++', 'experience', 'working', 'with', 'i++', 'high', 'risk', 'young', 'people', 'i++']"
ADM CITY PLANNER (NON MGRL),"The development
and implementation of
specific programs","['the', 'development', 'i++', 'of', 'contaminated', '-contaminated', 'street', 'improvement', 'projects', 'i++', 'within', 'the', '-the', '-within', 'and', 'progressive', '-progressive', '-and', 'within', 'the', '-the', '-within', 'i--', '-projects', '-improvement', '-street', '-of', 'and', 'implementation', 'of', 'i++', 'specific', 'programs', 'i++']"
ADM CITY PLANNER (NON MGRL),"The candidate will
be a critical part of
the green building laws","['the', 'candidate', 'must', 'i++', 'demonstrate', 'prior', 'project', 'i++', 'management', 'and', '-and', 'work', '-work', '-management', 'i--', '-project', '-prior', 'a', 'willingness', 'i++', 'and', 'readiness', '-readiness', '-and', 'i--', '-willingness', '-a', '-demonstrate', 'i--', '-must', 'will', 'i++', 'work', 'closely', 'with', 'the', 'goal', 'of', 'i++', 'enhancing', '-enhancing', 'i--', '-of', '-goal', '-the', 'our', '-our', '-with', '-closely', '-work', 'be', 'a', 'critical', 'part', 'of', 'i++', 'a', 'road', 'map', 'for', '-for', '-map', '-road', '-a', 'the', 'green', 'building', 'laws', 'i++']"
ADM CITY PLANNER (NON MGRL),"The development
and implementation of
the green building laws","['the', 'development', 'i++', 'and', 'implementation', 'of', 'i++', 'innovative', '-innovative', 'the', 'green', 'building', 'laws', 'i++']"
ADM CITY PLANNER (NON MGRL),"Working and doing
business in new york city
is recommended","['working', 'with', '-with', 'and', 'doing', 'i++', 'business', 'in', 'new', 'york', 'city', 'i++', 'agencies', 'and', '-and', '-agencies', 'is', 'recommended', 'i++']"
SEWAGE TREATMENT WORKER,"Operate maintain
and repair machinery
equipment and grounds","['operate', 'maintain', 'i++', 'and', 'repair', 'machinery', 'i++', 'equipment', 'and', 'grounds', 'i++']"
CITY CUSTODIAL ASSISTANT,"Wash walls by hand with
a brush or by using an
electric machine","['wash', 'walls', 'by', 'hand', 'with', 'i++', 'a', 'brush', 'or', 'by', 'using', 'an', 'i++', 'electric', 'machine', 'i++']"
CITY CUSTODIAL ASSISTANT,"Custodial and
maintenance of the bureau
of operations","['custodial', 'and', 'i++', 'maintenance', 'of', 'the', 'bureau', 'i++', 'of', 'operations', 'i++']"
ADMINISTRATIVE HORTICULTURIST,"Valid new york state
driver license valid in
the state of new york","['valid', 'new', 'york', 'state', 'i++', 'pesticide', 'applicator', 'i++', 'license', '-license', 'i--', '-applicator', '-pesticide', 'driver', 'license', 'valid', 'in', 'i++', 'the', 'state', 'of', 'new', 'york', 'i++']"
CIVIL ENGINEERING INTERN,"Candidates will be
expected to conduct site
visits as needed","['candidates', 'with', '-with', 'will', 'be', 'i++', 'expected', 'to', 'conduct', 'site', 'i++', 'visits', 'as', 'needed', 'i++']"
CIVIL ENGINEERING INTERN,"The new york city
department of design and
construction projects","['the', 'bureau', 'of', '-of', 'is', '-is', '-bureau', 'review', 'and', '-and', '-review', 'new', 'york', 'city', 'i++', 'department', 'of', 'design', 'and', 'i++', 'construction', 'projects', 'i++']"
CIVIL ENGINEERING INTERN,"Working within the
bureau of engineering
drawings and records","['working', 'within', 'the', 'i++', 'planning', 'development', 'to', 'i++', 'include', 'data', '-data', '-include', 'i--', '-to', '-development', '-planning', 'west', 'of', 'hudson', 'life', 'cycle', 'i++', 'management', '-management', 'i--', '-cycle', '-life', '-hudson', '-of', '-west', 'bureau', 'of', 'engineering', 'i++', 'drawings', 'and', 'records', 'i++']"
CIVIL ENGINEERING INTERN,"Field inspections and
document construction of
green roofs required","['field', 'inspections', 'and', 'i++', 'document', 'construction', 'of', 'i++', 'green', 'roofs', 'required', 'i++']"
CIVIL ENGINEERING INTERN,"Familiarity
with computer maintenance
management programs","['familiarity', 'i++', 'of', 'ms', 'office', 'suite', 'ms', '-ms', '-suite', '-office', '-ms', '-of', 'with', 'the', 'provisions', 'of', 'the', 'i++', 'construction', 'of', '-of', '-construction', 'i--', '-the', '-of', '-provisions', '-the', 'computer', 'maintenance', 'i++', 'management', 'programs', 'i++']"
CIVIL ENGINEERING INTERN,"Assisting in the
review of engineering
drawings for projects","['assisting', 'in', 'the', 'i++', 'review', 'and', 'examine', '-examine', 'comment', 'of', '-of', '-comment', 'approval', 'in', 'i++', 'accordance', 'with', '-with', '-accordance', 'i--', '-in', '-approval', '-and', 'of', 'engineering', 'i++', 'drawings', 'for', 'projects', 'i++']"
INVESTIGATOR,"The candidate must
be able to work any
assigned shift or day","['the', 'unit', '-unit', 'safety', 'and', '-and', '-safety', 'candidate', 'must', 'i++', 'be', 'prepared', 'to', 'produce', 'all', 'i++', 'required', '-required', 'i--', '-all', '-produce', '-to', '-prepared', 'able', 'to', 'work', 'any', 'i++', 'assigned', 'shift', 'or', 'day', 'i++']"
INVESTIGATOR,"Must be able to
work independently and
as part of a team","['must', 'be', 'able', 'to', 'i++', 'work', 'independently', 'and', 'i++', 'as', 'part', 'of', 'a', 'team', 'i++']"
INVESTIGATOR,"The candidate will
also assist in the child
care operations","['the', 'candidate', 'will', 'i++', 'also', 'assist', 'in', 'the', 'child', 'i++', 'care', 'operations', 'i++']"
ENVIRONMENTAL ENGINEERING INTE,"Assisting with site
inspections of catch basin
cleaning contractors","['assisting', 'with', 'site', 'i++', 'inspections', 'of', 'catch', 'basin', 'i++', 'inspection', '-inspection', 'cleaning', 'contractors', 'i++']"
ENVIRONMENTAL ENGINEERING INTE,"The inspections of
catch basins in various
weather conditions","['the', 'division', 'of', 'i++', 'operations', '-operations', 'i--', '-of', '-division', 'inspections', 'of', 'i++', 'catch', 'basins', 'and', 'monitor', 'i++', 'the', 'work', 'progress', '-progress', '-work', '-the', 'i--', '-monitor', '-and', 'in', 'various', 'i++', 'weather', 'conditions', 'i++']"
PUBLIC RECORDS AIDE,"The packaging of
bid packages into the
requisite volumes","['the', 'selected', '-selected', 'packaging', 'of', 'i++', 'bid', 'packages', 'to', 'acco', 'i++', 'i--', '-acco', '-to', 'into', 'the', 'i++', 'requisite', 'volumes', 'i++']"
SUPERVISOR OF MECHANICS(MECHAN,"Fleet maintenance and
repair of a large fleet of
motor vehicles","['fleet', 'maintenance', 'and', 'i++', 'repair', 'of', 'a', 'large', 'fleet', 'of', 'i++', 'motor', 'vehicles', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Basic database
knowledge to assist on the
communications","['basic', 'level', '-level', 'database', 'i++', 'knowledge', 'to', 'assist', 'on', 'the', 'i++', 'survey', 'scanning', '-scanning', '-survey', 'communications', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"The development
and roll out of the bureau
of child care programs","['the', 'development', 'i++', 'of', 'an', 'outreach', 'strategy', 'i++', 'for', '-for', 'i--', '-strategy', '-outreach', 'emergency', 'your', 'i++', 'position', 'may', '-may', '-position', 'i--', '-your', '-emergency', '-an', 'a', 'person', 'familiar', 'i++', 'with', 'paper', 'forms', '-forms', '-paper', '-with', 'i--', '-familiar', '-person', '-a', '-of', 'and', 'roll', 'out', 'of', 'the', 'bureau', 'i++', 'of', 'child', 'care', 'programs', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Finance is seeking
a dynamic intern to
function as a team","['finance', 'is', 'seeking', 'i++', 'a', 'dynamic', 'intern', 'to', 'i++', 'function', 'as', 'a', 'team', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,"Developing and
executing strategies
and initiatives","['developing', 'and', 'i++', 'executing', 'strategies', 'i++', 'and', 'initiatives', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,"Keen listening skills
and ability to work
here every day","['keen', 'listening', 'skills', 'i++', 'and', 'ability', 'to', 'work', 'i++', 'here', 'every', 'day', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,"Proficiency in
human resources projects
and initiatives","['proficiency', 'in', 'i++', 'human', 'resources', 'projects', 'i++', 'and', 'initiatives', 'i++']"
SUPERVISOR II SOCIAL WORK,"The early care and
recovery for all new york
city residents","['the', 'criminal', '-criminal', 'application', 'i++', 'of', '-of', 'i--', '-application', 'bureau', 'seeks', 'to', 'i++', 'facilitate', 'access', 'and', 'i++', 'quality', 'care', '-care', '-quality', 'i--', '-and', '-access', '-facilitate', 'i--', '-to', '-seeks', '-bureau', 'early', 'care', 'and', 'i++', 'education', 'providers', 'i++', 'including', 'staff', '-staff', '-including', 'i--', '-providers', '-education', 'recovery', 'for', 'all', 'new', 'york', 'i++', 'city', 'residents', 'i++']"
