title,haiku,path
ASSOCIATE PUBLIC HEALTH SANITA,"Within their assigned
areas including but
not be considered","['within', 'their', 'assigned', 'i++', 'areas', 'including', 'but', 'i++', 'not', 'limited', '-limited', 'be', 'considered', 'i++']"
ASSOCIATE PUBLIC HEALTH SANITA,"5 million new york
city department of new
ehs systems","['5', 'million', 'new', 'york', 'i++', 'city', 'department', 'of', 'health', 'i++', 'field', 'personnel', '-personnel', '-field', 'i--', '-health', 'new', 'i++', 'york', 'and', 'has', 'a', '-a', '-has', 'we', '-we', '-and', '-york', 'ehs', 'systems', 'i++']"
PLUMBER,"Supervise and be
responsible for the work
of plumbers helper","['supervise', 'and', 'be', 'i++', 'responsible', 'for', 'the', 'work', 'i++', 'of', 'plumbers', 'helper', 'i++']"
ADMINISTRATIVE PUBLIC INFORMAT,"Prepare agency
officials for interviews
and public affairs","['prepare', 'agency', 'i++', 'officials', 'for', 'interviews', 'i++', 'and', 'public', 'affairs', 'i++']"
ADMINISTRATIVE PUBLIC INFORMAT,"Performing other
related assignments and
special interest groups","['performing', 'other', 'i++', 'related', 'assignments', 'and', 'i++', 'special', 'interest', 'groups', 'i++']"
DIRECTOR OF FIELD OPERATIONS (,"Reviews and the chief
of staff of the ny state
connections system","['reviews', 'and', 'or', 'child', 'i++', 'protective', 'specialists', '-specialists', 'units', '-units', '-protective', 'i--', '-child', '-or', 'the', 'chief', 'i++', 'of', 'staff', 'of', 'the', 'division', 'i++', 'of', 'child', 'welfare', '-welfare', '-child', '-of', 'in', 'ensuring', '-ensuring', '-in', 'i--', '-division', 'ny', 'state', 'i++', 'connections', 'system', 'i++']"
DIRECTOR OF FIELD OPERATIONS (,"The child protective
experience is a plus
for this position","['the', 'child', 'protective', 'i++', 'units', '-units', 'specialist', 'staff', 'they', 'manage', 'i++', 'i--', '-manage', '-they', '-staff', '-specialist', 'audit', 'unit', 'will', '-will', '-unit', '-audit', 'experience', 'is', 'a', 'large', 'i++', 'component', 'of', '-of', '-component', 'i--', '-large', 'plus', 'i++', 'for', 'this', 'position', 'i++']"
ASSISTANT CORPORATION COUNSEL,"The city appears
as plaintiff to advance key
policy interests","['the', 'ability', 'i++', 'to', 'work', 'independently', 'i++', 'or', 'under', '-under', '-or', 'i--', '-independently', 'in', 'the', 'tax', 'and', '-and', '-tax', 'criminal', 'i++', 'law', 'juvenile', '-juvenile', '-law', 'i--', '-criminal', 'southern', 'and', 'i++', 'eastern', 'district', '-district', '-eastern', 'i--', '-and', '-southern', '-the', '-in', '-work', 'develop', 'and', '-and', '-develop', '-to', 'i--', '-ability', 'city', 'in', 'a', 'i++', 'diverse', 'and', '-and', '-diverse', 'i--', '-a', '-in', 'appears', 'i++', 'as', 'plaintiff', 'to', 'advance', 'key', 'i++', 'policy', 'interests', 'i++']"
PROTECTION AGENT (ACS),"Conduct training for
an assigned area such
as the following","['conduct', 'and', '-and', 'training', 'for', 'i++', 'child', 'protective', 'services', 'i++', 'staff', 'in', 'the', '-the', '-in', 'related', '-related', '-staff', 'i--', '-services', '-protective', '-child', 'an', 'assigned', 'area', 'such', 'i++', 'as', 'the', 'following', 'i++']"
ASSISTANT HIGHWAY TRANSPORTATI,"The bike share pricing
schemes modeling costs of bike
share planning outreach","['the', 'western', '-western', 'bike', 'share', 'planning', 'i++', 'outreach', 'and', 'operations', 'i++', 'i--', '-operations', '-and', '-outreach', 'i--', '-planning', 'pricing', 'i++', 'schemes', 'modeling', 'costs', 'of', 'bike', 'i++', 'share', 'planning', 'outreach', 'i++']"
ASSISTANT HIGHWAY TRANSPORTATI,"Planners gis
analysts to assist with
citi bike system","['planners', 'gis', 'i++', 'analysts', 'to', 'perform', '-perform', 'assist', 'with', 'i++', 'citi', 'bike', 'system', 'i++']"
COMMUNITY COORDINATOR,"Maintaining project
plans and other topics as
defined by the law","['maintaining', 'project', 'i++', 'plans', 'and', 'other', 'topics', 'as', 'i++', 'identified', '-identified', 'defined', 'by', 'the', 'law', 'i++']"
COMMUNITY COORDINATOR,"Hpd uses
enforcement tools within the
financial system","['hpd', 'uses', 'i++', 'enforcement', 'tools', 'within', 'the', 'i++', 'bureau', 'of', 'child', '-child', '-of', '-bureau', 'financial', 'system', 'i++']"
ADMINISTRATIVE CLAIM EXAMINER,"The law department
and the law department and
the new york state bar","['the', 'law', 'department', 'i++', 'and', 'the', 'law', 'department', 'and', 'i++', 'various', '-various', 'the', 'new', 'york', 'state', 'bar', 'i++']"
CITY PLANNING TECHNICIAN,"3 million new york
and we collect and treat an
average of 1","['3', 'million', 'new', 'york', 'i++', 'and', 'overseeing', '-overseeing', 'we', 'collect', 'and', 'treat', 'an', 'i++', 'average', 'of', '1', 'i++']"
ADMINISTRATIVE GRAPHIC ARTIST,"The curricula
provided by vendors or
other requirements","['the', 'curricula', 'i++', 'provided', 'by', 'vendors', 'or', 'i++', 'other', 'authors', '-authors', 'requirements', 'i++']"
CERT IT ADMINISTRATOR (DB),"Meet with users to
work independently on
multiple projects","['meet', 'with', 'other', '-other', 'users', 'to', 'i++', 'identify', 'requirements', 'i++', 'i--', '-requirements', '-identify', 'work', 'with', 'the', 'dacco', 'to', '-to', '-dacco', 'broadest', 'scope', 'in', 'i++', 'exercising', '-exercising', 'i--', '-in', '-scope', '-broadest', '-the', '-with', 'independently', 'on', 'i++', 'multiple', 'projects', 'i++']"
CERT IT ADMINISTRATOR (DB),"Experience in
database architecture
including software","['experience', 'on', 'i++', 'ibm', 'db2', '-db2', '-ibm', 'i--', '-on', 'with', 'i++', 'designing', 'and', '-and', '-designing', 'oracle', 'database', '-database', '-oracle', 'i--', '-with', 'in', 'i++', 'database', 'architecture', 'i++', 'and', 'design', 'stored', '-stored', '-design', '-and', 'including', 'software', 'i++']"
COMPUTER ASSOC (TECH SUPP),"Ensure prompt payment
for all goods and services
other than payroll","['ensure', 'prompt', 'payment', 'i++', 'for', 'all', 'goods', 'and', 'services', 'i++', 'other', 'than', 'payroll', 'i++']"
STAFF NURSE,"As a member of
a health care needs of children
to appropriate","['as', 'a', 'member', 'of', 'i++', 'a', 'health', 'care', 'needs', 'of', 'children', 'i++', 'change', '-change', 'to', 'appropriate', 'i++']"
STAFF NURSE,"The health care needs of
acs served foster care
and education","['the', 'health', 'care', 'needs', 'of', 'i++', 'acs', 'served', 'foster', 'care', 'i++', 'and', 'education', 'i++']"
PROCUREMENT ANALYST,"Review and submit
purchase requisitions and
procurement progress","['review', 'and', 'submit', 'i++', 'purchase', 'requisitions', 'and', 'i++', 'procurement', 'progress', 'i++']"
PROCUREMENT ANALYST,"The development
and modification of
contract management","['the', 'following', 'tasks', 'i++', 'i--', '-tasks', 'are', 'i++', 'typical', 'assignments', '-assignments', '-typical', 'i--', '-are', '-following', 'budget', 'office', 'i++', 'is', 'responsible', 'for', 'all', 'i++', 'methods', 'of', '-of', '-methods', 'i--', '-all', 'the', 'i++', 'division', 'of', '-of', '-division', 'i--', '-the', 'all', 'i++', 'payments', 'are', 'made', '-made', '-are', '-payments', 'i--', '-all', 'the', 'i++', 'agency', 'and', '-and', '-agency', 'i--', '-the', '-for', '-responsible', '-is', 'i--', '-office', '-budget', 'development', 'i++', 'of', 'specifications', 'for', 'i++', 'highly', 'complex', '-complex', '-highly', 'i--', '-for', '-specifications', '-of', 'and', 'modification', 'of', 'i++', 'contract', 'management', 'i++']"
COMPUTER PROGRAMMER ANALYST,"9 ability
to maintain existing and
new applications","['9', 'ability', 'i++', 'to', 'meet', 'deadlines', '11', 'i++', 'ability', '-ability', 'i--', '-11', '-deadlines', 'audit', 'objectives', 'i++', 'and', 'in', '-in', '-and', 'i--', '-objectives', '-audit', '-meet', 'work', 'alone', 'with', '-with', '-alone', '-work', 'maintain', 'existing', 'and', 'i++', 'new', 'applications', 'i++']"
BAKER,"Ensuring that all
prepped food and or other shapes
and places in pans","['ensuring', 'that', 'all', 'i++', 'prepped', 'food', 'and', 'or', 'services', 'i++', 'ordering', 'and', '-and', '-ordering', 'i--', '-services', 'other', 'shapes', 'i++', 'and', 'places', 'in', 'pans', 'i++']"
CEMENT MASON,"Prepare mix lay and
finish cement and concrete
to grade and contour","['prepare', 'mix', 'lay', 'and', 'i++', 'finish', 'cement', 'and', 'concrete', 'i++', 'and', 'prepare', 'and', '-and', '-prepare', '-and', 'to', 'grade', 'and', 'contour', 'i++']"
ASSISTANT COMMISSIONER (DBS),"The greatest outcomes
for training participants
and to meet deadlines","['the', 'greatest', 'outcomes', 'i++', 'for', 'training', 'participants', 'i++', 'and', 'to', 'assist', '-assist', 'meet', 'deadlines', 'i++']"
ASSISTANT COMMISSIONER (DBS),"Successful outcomes
for training participants
and to meet deadlines","['successful', 'outcomes', 'i++', 'for', 'training', 'participants', 'i++', 'and', 'to', 'assist', '-assist', 'meet', 'deadlines', 'i++']"
HEATING PLANT TECHNICIAN (HA),"When assigned to a
roving team in the review
of skilled trade tickets","['when', 'assigned', 'to', 'a', 'i++', 'roving', 'team', 'in', 'the', 'review', 'i++', 'of', 'skilled', 'trade', 'tickets', 'i++']"
CONSTRUCTION PROJECT MANAGER,"The performance of
the performance of the work
of construction work","['the', 'performance', 'of', 'i++', 'the', 'performance', 'of', 'the', 'work', 'i++', 'of', 'construction', 'work', 'i++']"
CONSTRUCTION PROJECT MANAGER,"Is able to work
both independently as
well as strong verbal","['is', 'the', '-the', 'able', 'to', 'work', 'i++', 'both', 'independently', 'as', 'i++', 'well', 'as', 'part', 'of', '-of', '-part', 'strong', 'verbal', 'i++']"
SENIOR ESTIMATOR (GENERAL CONS,"A new capital
needs assessment team conduct
state of good repair","['a', 'new', 'capital', 'i++', 'needs', 'assessment', 'team', 'conduct', 'i++', 'state', 'of', 'good', 'repair', 'i++']"
ADMINISTRATIVE ARCHITECT,"Proficiency in
autocad excel word and
microsoft project","['proficiency', 'in', 'i++', 'autocad', 'excel', 'word', 'and', 'i++', 'microsoft', 'project', 'i++']"
WATERSHED MAINTAINER,"Dep protects
public health and safety rules
and regulations","['dep', 'protects', 'i++', 'public', 'health', 'and', 'the', '-the', 'safety', 'laws', 'i++', 'agency', '-agency', 'i--', '-laws', 'rules', 'i++', 'and', 'regulations', 'i++']"
ARCHITECT,"Review documents
for constructability
and bid readiness","['review', 'highly', '-highly', 'documents', 'i++', 'for', 'constructability', 'i++', 'and', 'bid', 'readiness', 'i++']"
ARCHITECT,"Direct and manage
project milestones to ensure
design compliance","['direct', 'and', 'manage', 'i++', 'project', 'milestones', 'to', 'ensure', 'i++', 'timely', '-timely', 'code', 'compliance', '-compliance', '-code', 'design', 'compliance', 'i++']"
ADMINISTRATIVE CITY PLANNER,"Maintains official
application records the
city of new york","['maintains', 'official', 'i++', 'application', 'records', 'the', 'i++', 'city', 'charter', '-charter', 'of', 'new', 'york', 'i++']"
ADMINISTRATIVE CITY PLANNER,"A key member of
the capital planning will
influence include","['a', 'minimum', 'of', 'i++', 'i--', '-of', 'cost', 'i++', 'to', 'taxpayers', '-taxpayers', '-to', 'i--', '-cost', '-minimum', 'key', 'member', 'of', 'i++', 'the', 'capital', 'planning', 'will', 'i++', 'influence', 'include', 'i++']"
DIRECTOR OF CONSUMER INFORMATI,"The commissioner
as needed for press and or
social media","['the', 'commissioner', 'i++', 'as', 'needed', 'for', 'press', 'and', 'or', 'i++', 'social', 'media', 'i++']"
CIVIL ENGINEER,"The operation
and maintenance of public
works plants or structures","['the', 'operation', 'i++', 'and', 'maintenance', 'of', 'public', 'i++', 'works', 'plants', 'or', 'structures', 'i++']"
CIVIL ENGINEER,"The bureau also
approves and inspects water
and sewer projects","['the', 'bureau', 'also', 'i++', 'approves', 'and', 'inspects', 'water', 'i++', 'and', 'sewer', 'projects', 'i++']"
ADMINISTRATIVE JOB OPPORTUNITY,"Ensure compliance
with mandated signage are
properly posted","['ensure', 'compliance', 'i++', 'with', 'applicable', '-applicable', 'mandated', 'signage', 'are', 'i++', 'properly', 'posted', 'i++']"
