title,haiku,haiku2,path
ASSOCIATE INVESTIGATOR (NOT PR,,Resolves quality issues as required based upon file audits.,"['resolves', 'quality', 'i++', 'issues', 'as', 'required', 'based', 'i++', 'upon', 'file', 'audits', 'i++']"
CIVIL ENGINEER,"Supervise staff in
the East River bridges group
in the design phase",Supervise staff in the East River bridges group in the design phase.,"['supervise', 'staff', 'in', 'i++', 'the', 'country', 'with', 'nearly', '-nearly', '-with', '-country', 'design', 'inspection', '-inspection', '-design', 'east', 'river', 'bridges', 'group', 'i++', 'in', 'the', 'design', 'phase', 'i++']"
CIVIL ENGINEER,"Strong presentation
and communication skills
and leadership skills",Strong presentation and communication skills and leadership skills.,"['strong', 'technical', '-technical', 'presentation', 'i++', 'and', 'communication', 'skills', 'i++', 'and', 'leadership', 'skills', 'i++']"
CIVIL ENGINEER,"Directs all aspects
of sewer facilities
and infrastructure",Directs all aspects of sewer facilities and infrastructure.,"['directs', 'all', 'aspects', 'i++', 'of', 'sewer', 'facilities', 'i++', 'and', 'infrastructure', 'i++']"
CIVIL ENGINEER,"Directs all aspects
of projects as required
for the design phase",Directs all aspects of projects as required for the design phase.,"['directs', 'all', 'aspects', 'i++', 'of', 'projects', 'as', 'required', 'i++', 'for', 'the', 'design', 'phase', 'i++']"
CITY RESEARCH SCIENTIST,,Knowledge of the New York City Department Of Health and safety net.,"['knowledge', 'of', 'and', '-and', 'the', 'new', 'i++', 'york', 'city', 'department', 'of', 'i++', 'health', 'impact', 'of', '-of', '-impact', 'and', 'mental', '-mental', '-and', 'in', 'the', 'jails', '-jails', '-the', '-in', 'and', 'safety', 'net', 'i++']"
CITY RESEARCH SCIENTIST,"Engage with the new
york city department of
health inequities",Engage with the New York City Department Of Health inequities.,"['engage', 'with', 'the', 'new', 'i++', 'york', 'city', 'department', 'of', 'i++', 'finance', '-finance', 'correction', 'seeks', '-seeks', '-correction', 'health', 'data', 'from', '-from', '-data', 'inequities', 'i++']"
CITY RESEARCH SCIENTIST,"Facilitating
and coordinating large
and complex projects",Facilitating and coordinating large and complex projects.,"['facilitating', 'i++', 'and', 'coordinating', 'large', 'i++', 'and', 'or', 'other', '-other', 'social', '-social', '-or', 'complex', 'projects', 'i++']"
CITY RESEARCH SCIENTIST,"The office of school
health and mental hygiene is
a must in the jails",The office of school health and mental hygiene is a must in the jails.,"['the', 'office', 'of', 'school', 'i++', 'health', 'and', 'safety', 'net', '-net', 'laws', 'and', '-and', '-laws', 'net', '-net', '-safety', 'mental', 'hygiene', 'is', 'i++', 'a', 'brief', 'test', 'may', '-may', '-test', '-brief', 'must', 'in', 'the', 'jails', 'i++']"
CITY RESEARCH SCIENTIST,"Analyze data
to generate reports on
policy issues",Analyze data to generate reports on policy issues.,"['analyze', 'data', 'i++', 'of', 'assets', 'within', '-within', '-assets', '-of', 'and', 'reports', 'targeting', 'a', 'i++', 'variety', '-variety', 'i--', '-a', '-targeting', '-reports', '-and', 'to', 'generate', 'reports', 'on', 'i++', 'policy', 'issues', 'i++']"
PROBATION OFFICER,"Understanding and
experience working with
high risk young people",Understanding and experience working with high risk young people.,"['understanding', 'and', 'i++', 'experience', 'working', 'with', 'i++', 'high', 'risk', 'young', 'people', 'i++']"
ADM CITY PLANNER (NON MGRL),"The development
and implementation of
specific programs",The development and implementation of specific programs.,"['the', 'development', 'i++', 'of', 'contaminated', '-contaminated', 'street', 'improvement', 'projects', 'i++', 'within', 'the', '-the', '-within', 'and', 'progressive', '-progressive', '-and', 'within', 'the', '-the', '-within', 'i--', '-projects', '-improvement', '-street', '-of', 'and', 'implementation', 'of', 'i++', 'specific', 'programs', 'i++']"
ADM CITY PLANNER (NON MGRL),"The candidate will
be a critical part of
the green building laws",The candidate will be a critical part of the green building laws.,"['the', 'candidate', 'must', 'i++', 'demonstrate', 'prior', 'project', 'i++', 'management', 'and', '-and', 'work', '-work', '-management', 'i--', '-project', '-prior', 'a', 'willingness', 'i++', 'and', 'readiness', '-readiness', '-and', 'i--', '-willingness', '-a', '-demonstrate', 'i--', '-must', 'will', 'i++', 'work', 'closely', 'with', 'the', 'goal', 'of', 'i++', 'enhancing', '-enhancing', 'i--', '-of', '-goal', '-the', 'our', '-our', '-with', '-closely', '-work', 'be', 'a', 'critical', 'part', 'of', 'i++', 'a', 'road', 'map', 'for', '-for', '-map', '-road', '-a', 'the', 'green', 'building', 'laws', 'i++']"
ADM CITY PLANNER (NON MGRL),"The development
and implementation of
the green building laws",The development and implementation of the green building laws.,"['the', 'development', 'i++', 'and', 'implementation', 'of', 'i++', 'innovative', '-innovative', 'the', 'green', 'building', 'laws', 'i++']"
ADM CITY PLANNER (NON MGRL),"Working and doing
business in new york city
is recommended",Working and doing business in New York City is recommended.,"['working', 'with', '-with', 'and', 'doing', 'i++', 'business', 'in', 'new', 'york', 'city', 'i++', 'agencies', 'and', '-and', '-agencies', 'is', 'recommended', 'i++']"
SEWAGE TREATMENT WORKER,"Operate maintain
and repair machinery
equipment and grounds","Operate, maintain and repair machinery, equipment and grounds.","['operate', 'maintain', 'i++', 'and', 'repair', 'machinery', 'i++', 'equipment', 'and', 'grounds', 'i++']"
CITY CUSTODIAL ASSISTANT,"Wash walls by hand with
a brush or by using an
electric machine",Wash walls by hand with a brush or by using an electric machine.,"['wash', 'walls', 'by', 'hand', 'with', 'i++', 'a', 'brush', 'or', 'by', 'using', 'an', 'i++', 'electric', 'machine', 'i++']"
