title,haiku,path
Civil Engineer,"Supervise staff in
the East River bridges group
in the design phase.","['Supervise', 'staff', 'in', 'i++', 'the', 'country', 'with', 'nearly', '-', '-', '-', 'design', 'inspection', '-', '-', 'East', 'River', 'bridges', 'group', 'i++', 'in', 'the', 'design', 'phase.', 'i++']"
Civil Engineer,"Strong presentation
and communication skills
and leadership skills.","['Strong', 'technical', '-', 'presentation', 'i++', 'and', 'communication', 'skills', 'i++', 'and', 'leadership', 'skills.', 'i++']"
Civil Engineer,"Directs all aspects
of sewer facilities
and infrastructure.","['Directs', 'all', 'aspects', 'i++', 'of', 'sewer', 'facilities', 'i++', 'and', 'infrastructure.', 'i++']"
Civil Engineer,"Directs all aspects
of projects as required
for the design phase.","['Directs', 'all', 'aspects', 'i++', 'of', 'projects', 'as', 'required', 'i++', 'for', 'the', 'design', 'phase.', 'i++']"
Civil Engineer,"Failure to do so
will result in a steady
state of good repair.","['Failure', 'to', 'do', 'so', 'i++', 'will', 'result', 'in', 'your', '-', 'a', 'steady', 'i++', 'state', 'of', 'good', 'repair.', 'i++']"
Civil Engineer,"The largest combined
municipal water and
wastewater projects.","['The', 'existing', '-', 'largest', 'combined', 'i++', 'municipal', 'water', 'and', 'i++', 'sewer', 'sketches', '-', '-', 'wastewater', 'projects.', 'i++']"
Civil Engineer,"Knowledge of the chief
of the Bureau Of Water
And Sewer Projects.","['Knowledge', 'of', 'the', 'chief', 'i++', 'of', 'drainage', '-', 'the', 'city', 'drainage', 'plans', 'i++', 'the', 'city', 'of', '-', '-', '-', 'i--', '-', 'plan', 'i++', 'requires', '-', 'i--', '-', '-', 'sewer', 'and', 'i++', 'water', 'system', '-', '-', 'i--', '-', '-', '-', '-', '-', 'plan', 'examiner', 'perform', 'i++', 'extremely', '-', 'i--', '-', '-', '-', 'of', 'the', 'Bureau', 'Of', 'Water', 'i++', 'And', 'Sewer', 'Projects.', 'i++']"
Civil Engineer,"The operation
and maintenance of all of
the capital needs.","['The', 'operation', 'i++', 'and', 'maintenance', 'of', 'any', 'i++', 'issues', '-', 'pedestrian', '-', 'i--', '-', 'all', 'work', 'i++', 'is', 'progressing', '-', '-', 'performed', 'by', 'the', '-', '-', '-', 'is', 'progressing', '-', '-', 'i--', '-', 'of', 'i++', 'new', 'york', 'state', '-', '-', '-', 'i--', '-', 'work', 'i++', 'performed', 'is', 'in', '-', '-', '-', 'i--', '-', 'of', 'i++', 'the', 'capital', 'needs.', 'i++']"
Civil Engineer,"Excellent writing
skills, valid driver license
is a requirement.","['Excellent', 'long-term', 'i++', 'growth', 'opportunities', '-', '-', 'i--', '-', 'writing', 'i++', 'skills,', 'valid', 'driver', 'license', 'i++', 'is', 'a', 'requirement.', 'i++']"
Civil Engineer,"A consultant on
structural design and/or
city officials.","['A', 'requirement', '-', 'consultant', 'on', 'i++', 'major', 'engineering', '-', '-', 'structural', 'design', 'and/or', 'green', 'i++', 'infrastructure', '-', 'i--', '-', '-', 'and/or', 'i++', 'city', 'officials.', 'i++']"
Civil Engineer,"Prepares budget and
will result in a steady
state of new buildings.","['Prepares', 'budget', 'and', 'i++', 'will', 'result', 'in', 'your', '-', 'a', 'steady', 'i++', 'state', 'of', 'new', 'buildings.', 'i++']"
Civil Engineer,"The construction of
water and sewer projects
within Southeast Queens.","['The', 'construction', 'of', 'i++', 'water', 'and', 'sewer', 'projects', 'i++', 'within', 'Southeast', 'Queens.', 'i++']"
Civil Engineer,"The construction of
the construction code and/or
city officials.","['The', 'construction', 'of', 'i++', 'corners', 'to', 'determine', 'if', 'i++', 'pedestrian', '-', 'i--', '-', '-', '-', '-', 'the', 'construction', 'of', 'all', 'of', 'i++', 'new', 'york', 'city', '-', '-', '-', 'the', 'basic', '-', '-', 'i--', '-', 'work', 'i++', 'performed', 'by', 'the', '-', '-', '-', 'i--', '-', 'of', 'i++', 'the', 'basic', '-', '-', 'i--', '-', '-', 'deep', 'rock', 'i++', 'tunnels', '-', 'i--', '-', '-', '-', 'code', 'and/or', 'i++', 'city', 'officials.', 'i++']"
Civil Engineer,"Manage enforcement
actions for projects managed
by the agency.","['Manage', 'enforcement', 'i++', 'actions', 'for', 'projects', 'that', 'in', 'i++', 'conjunction', 'with', '-', '-', 'i--', '-', '-', '-', '-', '-', 'i--', '-', 'the', 'safety', 'i++', 'quality', 'assurance', 'and', 'i++', 'quality', '-', 'i--', '-', '-', 'schedule', 'and', '-', '-', '-', 'i--', '-', 'timely', 'i++', 'execution', 'and', '-', '-', 'i--', '-', '-', 'enforcement', 'i++', 'actions', 'for', 'projects', 'that', 'in', 'i++', 'conjunction', 'with', '-', '-', 'i--', '-', '-', 'managed', 'i++', 'by', 'the', 'agency.', 'i++']"
