title,haiku,path
ASSOCIATE INVESTIGATOR (NOT PR,"Resolves quality
issues as required based
upon file audits","['resolves', 'quality', 'i++', 'issues', 'as', 'required', 'based', 'i++', 'upon', 'file', 'audits', 'i++']"
CIVIL ENGINEER,"Experience is
in civil engineering
and other structures","['experience', 'is', 'i++', 'in', 'civil', 'engineering', 'i++', 'and', 'other', 'rules', '-rules', 'structures', 'i++']"
CIVIL ENGINEER,"A capacity
where they do not represent
the sidewalk program","['a', 'capacity', 'i++', 'where', 'they', 'do', 'not', 'represent', 'i++', 'the', 'chief', 'plan', '-plan', 'of', 'the', '-the', '-of', 'plan', '-plan', '-chief', 'agency', '-agency', '-the', 'i--', '-represent', '-not', '-do', '-they', 'those', 'duties', 'do', 'not', '-not', '-do', '-duties', '-those', 'they', 'do', 'not', 'represent', 'i++', 'the', 'sidewalk', 'program', 'i++']"
CIVIL ENGINEER,"Supervise staff in
the east river bridges group
in the design phase","['supervise', 'staff', 'in', 'i++', 'the', 'country', 'with', 'nearly', '-nearly', '-with', '-country', 'design', 'inspection', '-inspection', '-design', 'east', 'river', 'bridges', 'group', 'i++', 'in', 'the', 'design', 'phase', 'i++']"
CIVIL ENGINEER,"Strong presentation
and communication skills
and leadership skills","['strong', 'technical', '-technical', 'presentation', 'i++', 'and', 'communication', 'skills', 'i++', 'and', 'leadership', 'skills', 'i++']"
CIVIL ENGINEER,"Directs all aspects
of sewer facilities
and infrastructure","['directs', 'all', 'aspects', 'i++', 'of', 'sewer', 'facilities', 'i++', 'and', 'infrastructure', 'i++']"
CIVIL ENGINEER,"The new york during
the design and construction
of water courses","['the', 'new', 'york', 'during', 'i++', 'the', 'design', 'and', 'construction', 'i++', 'of', 'water', 'and', '-and', 'courses', 'i++']"
CIVIL ENGINEER,"Directs all aspects
of projects as required
for the design phase","['directs', 'all', 'aspects', 'i++', 'of', 'projects', 'as', 'required', 'i++', 'for', 'the', 'design', 'phase', 'i++']"
CIVIL ENGINEER,"Supervising and
reviewing of the bureau
of facilities","['supervising', 'and', 'i++', 'reviewing', 'of', 'the', 'section', 'i++', 'manager', 'the', '-the', '-manager', 'i--', '-section', 'bureau', 'i++', 'of', 'water', 'and', '-and', '-water', 'facilities', 'i++']"
CIVIL ENGINEER,"Reviewing design
plans for the construction of
said facilities","['reviewing', 'design', 'i++', 'plans', 'for', 'the', 'civil', 'service', 'i++', 'civil', '-civil', 'exam', 'open', '-open', '-exam', 'civil', '-civil', 'i--', '-service', 'design', 'i++', 'work', '-work', 'i--', '-design', '-civil', 'exercise', 'of', 'i++', 'independent', '-independent', 'i--', '-of', '-exercise', 'construction', 'code', 'i++', 'and', 'or', 'city', '-city', '-or', '-and', 'i--', '-code', 'of', 'i++', 'all', 'of', 'new', 'york', '-york', '-new', '-of', '-all', 'said', 'facilities', 'i++']"
CIVIL ENGINEER,"Possession of a
complex nature and serving
as the following","['possession', 'of', 'a', 'i++', 'complex', 'nature', 'and', 'serving', 'i++', 'as', 'a', 'point', 'of', '-of', '-point', '-a', 'the', 'following', 'i++']"
CITY RESEARCH SCIENTIST,"Knowledge of the new
york city department of
health and safety net","['knowledge', 'of', 'and', '-and', 'the', 'new', 'i++', 'york', 'city', 'department', 'of', 'i++', 'health', 'impact', 'of', '-of', '-impact', 'and', 'mental', '-mental', '-and', 'in', 'the', 'jails', '-jails', '-the', '-in', 'and', 'safety', 'net', 'i++']"
CITY RESEARCH SCIENTIST,"Engage with the new
york city department of
health inequities","['engage', 'with', 'the', 'new', 'i++', 'york', 'city', 'department', 'of', 'i++', 'finance', '-finance', 'correction', 'seeks', '-seeks', '-correction', 'health', 'data', 'from', '-from', '-data', 'inequities', 'i++']"
CITY RESEARCH SCIENTIST,"Reporting to the
director of the mental
health needs of the change","['reporting', 'for', '-for', 'to', 'the', 'i++', 'following', 'computer', '-computer', '-following', 'director', 'of', 'the', 'doc', 'and', 'i++', 'i--', '-and', '-doc', 'mental', 'i++', 'health', 'needs', 'of', 'the', 'change', 'i++']"
CITY RESEARCH SCIENTIST,"Facilitating
and coordinating large
and complex projects","['facilitating', 'i++', 'and', 'coordinating', 'large', 'i++', 'and', 'or', 'other', '-other', 'social', '-social', '-or', 'complex', 'projects', 'i++']"
CITY RESEARCH SCIENTIST,"Possess excellent
interpersonal skills and
the environment","['possess', 'excellent', 'i++', 'interpersonal', 'skills', 'with', 'i++', 'demonstrated', '-demonstrated', 'experience', '-experience', 'i--', '-with', 'and', 'i++', 'the', 'work', 'of', 'its', '-its', '-of', 'with', 'large', '-large', '-with', '-work', 'environment', 'i++']"
CITY RESEARCH SCIENTIST,"The office of school
health and mental hygiene is
a must in the jails","['the', 'office', 'of', 'school', 'i++', 'health', 'and', 'safety', 'net', '-net', 'laws', 'and', '-and', '-laws', 'net', '-net', '-safety', 'mental', 'hygiene', 'is', 'i++', 'a', 'brief', 'test', 'may', '-may', '-test', '-brief', 'must', 'in', 'the', 'jails', 'i++']"
