title,haiku,path
PROJECT MANAGER,"The scoping design
and construction management
of plumbing systems","['the', 'scoping', 'design', 'i++', 'and', 'construction', 'management', 'i++', 'of', 'plumbing', 'systems', 'i++']"
PROJECT MANAGER,"The new york city
department of design and
construction process","['the', 'planning', '-planning', 'new', 'york', 'city', 'i++', 'residents', 'and', 'more', 'than', '-than', '-more', '-and', '-residents', 'department', 'of', 'design', 'and', 'i++', 'construction', 'of', '-of', '-construction', 'i--', '-and', '-design', '-of', '-department', 'residents', 'and', 'more', 'than', '-than', '-more', '-and', '-residents', 'department', 'of', 'design', 'and', 'i++', 'construction', 'process', 'i++']"
PROJECT MANAGER,"Advanced knowledge of
multi sector general
permit requirements","['advanced', 'knowledge', 'of', 'i++', 'multi', 'sector', 'general', 'i++', 'permit', 'requirements', 'i++']"
PROJECT MANAGER,"The division of
public buildings is seeking
project managers","['the', 'division', 'of', 'i++', 'public', 'buildings', 'is', 'seeking', 'i++', 'project', 'managers', 'i++']"
CIVIL ENGINEER,"This position will
fall under jurisdiction
of the following","['this', 'position', 'will', 'i++', 'also', 'be', 'responsible', 'i++', 'for', 'the', 'future', '-future', 'review', '-review', '-the', 'reviewing', '-reviewing', '-for', 'i--', '-responsible', '-be', '-also', 'fall', 'under', 'jurisdiction', 'i++', 'of', 'the', 'following', 'i++']"
CIVIL ENGINEER,"Failure to do so
will result in a steady
state of good repair","['failure', 'to', 'do', 'so', 'i++', 'will', 'result', 'in', 'your', '-your', 'a', 'steady', 'i++', 'state', 'of', 'good', 'repair', 'i++']"
CIVIL ENGINEER,"The largest combined
municipal water and
wastewater projects","['the', 'existing', '-existing', 'largest', 'combined', 'i++', 'municipal', 'water', 'and', 'i++', 'sewer', 'sketches', '-sketches', '-sewer', 'wastewater', 'projects', 'i++']"
CIVIL ENGINEER,"Knowledge of the chief
of the bureau of water
and sewer projects","['knowledge', 'of', 'the', 'chief', 'i++', 'of', 'drainage', '-drainage', 'the', 'city', 'drainage', 'plans', 'i++', 'the', 'city', 'of', '-of', '-city', '-the', 'i--', '-plans', 'plan', 'i++', 'requires', '-requires', 'i--', '-plan', '-drainage', 'sewer', 'and', 'i++', 'water', 'system', '-system', '-water', 'i--', '-and', '-sewer', '-city', '-the', '-of', 'plan', 'examiner', 'perform', 'i++', 'extremely', '-extremely', 'i--', '-perform', '-examiner', '-plan', 'of', 'the', 'bureau', 'of', 'water', 'i++', 'and', 'sewer', 'projects', 'i++']"
CIVIL ENGINEER,"The operation
and maintenance of all of
the capital needs","['the', 'operation', 'i++', 'and', 'maintenance', 'of', 'any', 'i++', 'issues', '-issues', 'pedestrian', '-pedestrian', 'i--', '-any', 'all', 'work', 'i++', 'is', 'progressing', '-progressing', '-is', 'performed', 'by', 'the', '-the', '-by', '-performed', 'is', 'progressing', '-progressing', '-is', 'i--', '-work', 'of', 'i++', 'new', 'york', 'state', '-state', '-york', '-new', 'i--', '-of', 'work', 'i++', 'performed', 'is', 'in', '-in', '-is', '-performed', 'i--', '-work', 'of', 'i++', 'the', 'capital', 'needs', 'i++']"
CIVIL ENGINEER,"Excellent writing
skills valid driver license
is a requirement","['excellent', 'long-term', 'i++', 'growth', 'opportunities', '-opportunities', '-growth', 'i--', '-long-term', 'writing', 'i++', 'skills', 'valid', 'driver', 'license', 'i++', 'is', 'a', 'requirement', 'i++']"
CIVIL ENGINEER,"Under direction
of the bureau of water
and sewer projects","['under', 'direction', 'i++', 'of', 'the', 'department', 'and', '-and', 'of', 'parks', 'i++', 'i--', '-parks', '-of', 'and', '-and', '-department', 'bureau', 'of', 'water', 'i++', 'supply', 'system', '-system', '-supply', 'i--', '-water', 'permit', 'i++', 'management', 'and', '-and', '-management', 'i--', '-permit', 'water', 'i++', 'and', 'sewer', 'projects', 'i++']"
CIVIL ENGINEER,"A consultant on
structural design and or
city officials","['a', 'requirement', '-requirement', 'consultant', 'on', 'i++', 'major', 'engineering', '-engineering', '-major', 'structural', 'design', 'and', 'green', 'i++', 'infrastructure', '-infrastructure', 'i--', '-green', 'or', 'i++', 'city', 'officials', 'i++']"
CIVIL ENGINEER,"Only applicants
who are permanent civil
engineer in charge","['only', 'applicants', 'i++', 'who', 'are', 'permanent', 'civil', 'i++', 'engineer', 'the', '-the', 'in', 'charge', 'i++']"
CIVIL ENGINEER,"Prepares budget and
will result in a steady
state of new buildings","['prepares', 'budget', 'and', 'i++', 'will', 'result', 'in', 'your', '-your', 'a', 'steady', 'i++', 'state', 'of', 'new', 'buildings', 'i++']"
CIVIL ENGINEER,"The construction of
water and sewer projects
within southeast queens","['the', 'construction', 'of', 'i++', 'water', 'and', 'sewer', 'projects', 'i++', 'within', 'southeast', 'queens', 'i++']"
CIVIL ENGINEER,"Coordinate with
other bureaus within dep
and other structures","['coordinate', 'with', 'i++', 'other', 'bureaus', 'within', 'dep', 'i++', 'and', 'other', 'structures', 'i++']"
CIVIL ENGINEER,"The basic design
plan or significant and
complex locations","['the', 'basic', 'design', 'i++', 'plan', 'or', 'significant', 'and', 'i++', 'complex', 'locations', 'i++']"
CIVIL ENGINEER,"The construction of
the construction code and or
city officials","['the', 'construction', 'of', 'i++', 'corners', 'to', 'determine', 'if', 'i++', 'pedestrian', '-pedestrian', 'i--', '-if', '-determine', '-to', '-corners', 'the', 'construction', 'of', 'all', 'of', 'i++', 'new', 'york', 'city', '-city', '-york', '-new', 'the', 'basic', '-basic', '-the', 'i--', '-of', 'work', 'i++', 'performed', 'by', 'the', '-the', '-by', '-performed', 'i--', '-work', 'of', 'i++', 'the', 'basic', '-basic', '-the', 'i--', '-of', '-all', 'deep', 'rock', 'i++', 'tunnels', '-tunnels', 'i--', '-rock', '-deep', '-of', 'code', 'and', 'or', 'i++', 'city', 'officials', 'i++']"
CIVIL ENGINEER,"Manage enforcement
actions for projects managed
by the agency","['manage', 'enforcement', 'i++', 'actions', 'for', 'projects', 'that', 'in', 'i++', 'conjunction', 'with', '-with', '-conjunction', 'i--', '-in', '-that', '-projects', '-for', '-actions', 'i--', '-enforcement', 'the', 'safety', 'i++', 'quality', 'assurance', 'and', 'i++', 'quality', '-quality', 'i--', '-and', '-assurance', 'schedule', 'and', '-and', '-schedule', '-quality', 'i--', '-safety', 'timely', 'i++', 'execution', 'and', '-and', '-execution', 'i--', '-timely', '-the', 'enforcement', 'i++', 'actions', 'for', 'projects', 'that', 'in', 'i++', 'conjunction', 'with', '-with', '-conjunction', 'i--', '-in', '-that', 'managed', 'i++', 'by', 'the', 'agency', 'i++']"
CIVIL ENGINEER,"Directs all aspects
of sewer facilities
and infrastructure","['directs', 'all', 'aspects', 'i++', 'of', 'sewer', 'facilities', 'i++', 'and', 'infrastructure', 'i++']"
